No,Chinese,English,Author_CL,Author_EL
43,学而不思则罔，思而不学则殆,"Learning without thought is labor lost; thought without learning is perilous.",孔子,Confucius
44,君子坦荡荡，小人长戚戚,"The superior man is always calm and at ease; the inferior man is always worried and distressed.",孔子,Confucius
45,天行健，君子以自强不息,"As Heaven keeps vigor through movement, a gentleman should constantly strive for self-improvement.",周易,I Ching
46,德不孤，必有邻,"Virtue is not left to stand alone. He who practices it will have neighbors.",孔子,Confucius
47,不耻下问,"Be quick to learn and unashamed to seek advice from those below you.",孔子,Confucius
48,吾日三省吾身,"Every day I examine myself on three points.",曾子,Zengzi
49,知者不惑，仁者不忧，勇者不惧,"A wise man is not confused, a benevolent man is not worried, a brave man is not afraid.",孔子,Confucius
50,满招损，谦受益,"Complacency brings loss; humility receives benefit.",尚书,The Book of Documents
51,道可道，非常道；名可名，非常名,"The Tao that can be told is not the eternal Tao; the name that can be named is not the eternal name.",老子,Laozi
52,企者不立，跨者不行,"He who stands on tiptoe is not steady; he who strides cannot maintain the pace.",老子,Laozi
53,大器晚成,"A great vessel takes time to complete.",老子,Laozi
54,上善若水,"The highest goodness is like water.",老子,Laozi
55,知人者智，自知者明,"Knowing others is wisdom; knowing yourself is enlightenment.",老子,Laozi
56,胜人者有力，自胜者强,"He who conquers others is strong; he who conquers himself is mighty.",老子,Laozi
57,居安思危,"Think of danger in times of safety.",《左传》,Zuo Zhuan
58,知足不辱，知止不殆,"He who knows contentment meets no disgrace; he who knows where to stop meets no danger.",老子,Laozi
59,自助者天助,"Heaven helps those who help themselves.",《管子》,Guanzi
60,强中更有强中手,"No matter how strong you are, there is always someone stronger.",中国谚语,Chinese Proverb
61,言必信，行必果,"If you say it, you must keep your word; if you promise it, you must follow through.",孔子,Confucius
62,君子和而不同，小人同而不和,"The gentleman seeks harmony but not uniformity; the small man seeks uniformity but not harmony.",孔子,Confucius
63,将欲取之，必先与之,"To take, one must first give.",老子,Laozi
64,不积跬步，无以至千里,"Without accumulating steps, you cannot reach a thousand miles.",荀子,Xunzi
65,三人行，必有我师焉,"When three men walk together, one of them can teach me something.",孔子,Confucius
66,得道多助，失道寡助,"He who has virtue gets much help; he who lacks virtue gets little help.",孟子,Mencius
67,大丈夫能屈能伸,"A great man can bend and stretch as needed.",中国谚语,Chinese Proverb
68,海纳百川，有容乃大,"The sea admits hundreds of rivers; it has room for all, thus it is great.",林则徐,Lin Zexu
69,弱之胜强，柔之胜刚,"The weak overcomes the strong; the soft overcomes the hard.",老子,Laozi
70,明枪易躲，暗箭难防,"An open spear thrust is easy to avoid; a hidden arrow is hard to guard against.",中国谚语,Chinese Proverb
71,不闻不若闻之，闻之不若见之,"Hearing is not as good as seeing.",荀子,Xunzi
72,当局者迷，旁观者清,"Those who are in it are confused; those who watch are clear.",中国谚语,Chinese Proverb
73,尺有所短，寸有所长,"A foot may be short in some parts, and an inch may be long in others.",屈原,Qu Yuan
74,博观而约取，厚积而薄发,"Observe widely and hold onto the essential; accumulate richly then release sparingly.",苏轼,Su Shi
75,既来之，则安之,"Since you have come, you may as well settle down.",《左传》,Zuo Zhuan
76,民以食为天,"People regard food as Heaven.",《史记》,Records of the Grand Historian
77,读万卷书，行万里路,"Read ten thousand books and travel ten thousand miles.",刘彝,Liu Yi
78,天时不如地利，地利不如人和,"Timing is not as good as the advantage of terrain, which is not as good as unity among people.",孟子,Mencius
79,塞翁失马，焉知非福,"When the frontier old man lost his horse, how could one know it would not be fortuitous?",中国谚语,Chinese Proverb
80,己所不欲，勿施于人,"What you do not want done to yourself, do not do to others.",孔子,Confucius
81,千里之行，始于足下,"A journey of a thousand miles begins with a single step.",老子,Laozi
82,知之者不如好之者，好之者不如乐之者,"Those who know are not as good as those who love, and those who love are not as good as those who find joy in it.",孔子,Confucius
83,学而不思则罔，思而不学则殆,"Learning without thought is labor lost; thought without learning is perilous.",孔子,Confucius
84,君子坦荡荡，小人长戚戚,"The superior man is always calm and at ease; the inferior man is always worried and distressed.",孔子,Confucius
85,天行健，君子以自强不息,"As Heaven keeps vigor through movement, a gentleman should constantly strive for self-improvement.",周易,I Ching
86,德不孤，必有邻,"Virtue is not left to stand alone. He who practices it will have neighbors.",孔子,Confucius
87,敏而好学，不耻下问,"Be quick to learn and unashamed to seek advice from those below you.",孔子,Confucius
88,吾日三省吾身,"Every day I examine myself on three points.",曾子,Zengzi
89,知者不惑，仁者不忧，勇者不惧,"A wise man is not confused, a benevolent man is not worried, a brave man is not afraid.",孔子,Confucius
90,满招损，谦受益,"Complacency brings loss; humility receives benefit.",尚书,The Book of Documents
91,道可道，非常道；名可名，非常名,"The Tao that can be told is not the eternal Tao; the name that can be named is not the eternal name.",老子,Laozi
92,企者不立，跨者不行,"He who stands on tiptoe is not steady; he who strides cannot maintain the pace.",老子,Laozi
93,大器晚成,"A great vessel takes time to complete.",老子,Laozi
94,上善若水,"The highest goodness is like water.",老子,Laozi
95,知人者智，自知者明,"Knowing others is wisdom; knowing yourself is enlightenment.",老子,Laozi
96,胜人者有力，自胜者强,"He who conquers others is strong; he who conquers himself is mighty.",老子,Laozi
97,居安思危,"Think of danger in times of safety.",《左传》,Zuo Zhuan
98,知足不辱，知止不殆,"He who knows contentment meets no disgrace; he who knows where to stop meets no danger.",老子,Laozi
99,自助者天助,"Heaven helps those who help themselves.",《管子》,Guanzi
100,强中更有强中手,"No matter how strong you are, there is always someone stronger.",中国谚语,Chinese Proverb
101,言必信，行必果,"If you say it, you must keep your word; if you promise it, you must follow through.",孔子,Confucius
102,君子和而不同，小人同而不和,"The gentleman seeks harmony but not uniformity; the small man seeks uniformity but not harmony.",孔子,Confucius
103,将欲取之，必先与之,"To take, one must first give.",老子,Laozi
104,不积跬步，无以至千里,"Without accumulating steps, you cannot reach a thousand miles.",荀子,Xunzi
105,三人行，必有我师焉,"When three men walk together, one of them can teach me something.",孔子,Confucius
106,得道多助，失道寡助,"He who has virtue gets much help; he who lacks virtue gets little help.",孟子,Mencius
107,大丈夫能屈能伸,"A great man can bend and stretch as needed.",中国谚语,Chinese Proverb
108,海纳百川，有容乃大,"The sea admits hundreds of rivers; it has room for all, thus it is great.",林则徐,Lin Zexu
109,弱之胜强，柔之胜刚,"The weak overcomes the strong; the soft overcomes the hard.",老子,Laozi
110,明枪易躲，暗箭难防,"An open spear thrust is easy to avoid; a hidden arrow is hard to guard against.",中国谚语,Chinese Proverb
111,不闻不若闻之，闻之不若见之,"Hearing is not as good as seeing.",荀子,Xunzi
112,当局者迷，旁观者清,"Those who are in it are confused; those who watch are clear.",中国谚语,Chinese Proverb
113,尺有所短，寸有所长,"A foot may be short in some parts, and an inch may be long in others.",屈原,Qu Yuan
114,博观而约取，厚积而薄发,"Observe widely and hold onto the essential; accumulate richly then release sparingly.",苏轼,Su Shi
115,既来之，则安之,"Since you have come, you may as well settle down.",《左传》,Zuo Zhuan
116,民以食为天,"People regard food as Heaven.",《史记》,Records of the Grand Historian
117,读万卷书，行万里路,"Read ten thousand books and travel ten thousand miles.",刘彝,Liu Yi
118,天时不如地利，地利不如人和,"Timing is not as good as the advantage of terrain, which is not as good as unity among people.",孟子,Mencius
119,塞翁失马，焉知非福,"When the frontier old man lost his horse, how could one know it would not be fortuitous?",中国谚语,Chinese Proverb
120,己所不欲，勿施于人,"What you do not want done to yourself, do not do to others.",孔子,Confucius
121,千里之行，始于足下,"A journey of a thousand miles begins with a single step.",老子,Laozi
122,知之者不如好之者，好之者不如乐之者,"Those who know are not as good as those who love, and those who love are not as good as those who find joy in it.",孔子,Confucius
123,学而不思则罔，思而不学则殆,"Learning without thought is labor lost; thought without learning is perilous.",孔子,Confucius
124,君子坦荡荡，小人长戚戚,"The superior man is always calm and at ease; the inferior man is always worried and distressed.",孔子,Confucius
125,天行健，君子以自强不息,"As Heaven keeps vigor through movement, a gentleman should constantly strive for self-improvement.",周易,I Ching
126,德不孤，必有邻,"Virtue is not left to stand alone. He who practices it will have neighbors.",孔子,Confucius
127,敏而好学，不耻下问,"Be quick to learn and unashamed to seek advice from those below you.",孔子,Confucius
128,吾日三省吾身,"Every day I examine myself on three points.",曾子,Zengzi
129,知者不惑，仁者不忧，勇者不惧,"A wise man is not confused, a benevolent man is not worried, a brave man is not afraid.",孔子,Confucius
130,满招损，谦受益,"Complacency brings loss; humility receives benefit.",尚书,The Book of Documents
131,道可道，非常道；名可名，非常名,"The Tao that can be told is not the eternal Tao; the name that can be named is not the eternal name.",老子,Laozi
132,企者不立，跨者不行,"He who stands on tiptoe is not steady; he who strides cannot maintain the pace.",老子,Laozi
133,大器晚成,"A great vessel takes time to complete.",老子,Laozi
134,上善若水,"The highest goodness is like water.",老子,Laozi
135,知人者智，自知者明,"Knowing others is wisdom; knowing yourself is enlightenment.",老子,Laozi
136,胜人者有力，自胜者强,"He who conquers others is strong; he who conquers himself is mighty.",老子,Laozi
137,居安思危,"Think of danger in times of safety.",《左传》,Zuo Zhuan
138,知足不辱，知止不殆,"He who knows contentment meets no disgrace; he who knows where to stop meets no danger.",老子,Laozi
139,自助者天助,"Heaven helps those who help themselves.",《管子》,Guanzi
140,强中更有强中手,"No matter how strong you are, there is always someone stronger.",中国谚语,Chinese Proverb
141,言必信，行必果,"If you say it, you must keep your word; if you promise it, you must follow through.",孔子,Confucius
142,君子和而不同，小人同而不和,"The gentleman seeks harmony but not uniformity; the small man seeks uniformity but not harmony.",孔子,Confucius
143,将欲取之，必先与之,"To take, one must first give.",老子,Laozi
144,不积跬步，无以至千里,"Without accumulating steps, you cannot reach a thousand miles.",荀子,Xunzi
145,三人行，必有我师焉,"When three men walk together, one of them can teach me something.",孔子,Confucius
146,得道多助，失道寡助,"He who has virtue gets much help; he who lacks virtue gets little help.",孟子,Mencius
147,大丈夫能屈能伸,"A great man can bend and stretch as needed.",中国谚语,Chinese Proverb
148,海纳百川，有容乃大,"The sea admits hundreds of rivers; it has room for all, thus it is great.",林则徐,Lin Zexu
149,弱之胜强，柔之胜刚,"The weak overcomes the strong; the soft overcomes the hard.",老子,Laozi
150,明枪易躲，暗箭难防,"An open spear thrust is easy to avoid; a hidden arrow is hard to guard against.",中国谚语,Chinese Proverb
151,不闻不若闻之，闻之不若见之,"Hearing is not as good as seeing.",荀子,Xunzi
152,当局者迷，旁观者清,"Those who are in it are confused; those who watch are clear.",中国谚语,Chinese Proverb
153,尺有所短，寸有所长,"A foot may be short in some parts, and an inch may be long in others.",屈原,Qu Yuan
154,博观而约取，厚积而薄发,"Observe widely and hold onto the essential; accumulate richly then release sparingly.",苏轼,Su Shi
155,既来之，则安之,"Since you have come, you may as well settle down.",《左传》,Zuo Zhuan
156,民以食为天,"People regard food as Heaven.",《史记》,Records of the Grand Historian
157,读万卷书，行万里路,"Read ten thousand books and travel ten thousand miles.",刘彝,Liu Yi
158,天时不如地利，地利不如人和,"Timing is not as good as the advantage of terrain, which is not as good as unity among people.",孟子,Mencius
159,塞翁失马，焉知非福,"When the frontier old man lost his horse, how could one know it would not be fortuitous?",中国谚语,Chinese Proverb
160,己所不欲，勿施于人,"What you do not want done to yourself, do not do to others.",孔子,Confucius
161,千里之行，始于足下,"A journey of a thousand miles begins with a single step.",老子,Laozi
162,知之者不如好之者，好之者不如乐之者,"Those who know are not as good as those who love, and those who love are not as good as those who find joy in it.",孔子,Confucius
163,学而不思则罔，思而不学则殆,"Learning without thought is labor lost; thought without learning is perilous.",孔子,Confucius
164,君子坦荡荡，小人长戚戚,"The superior man is always calm and at ease; the inferior man is always worried and distressed.",孔子,Confucius
165,天行健，君子以自强不息,"As Heaven keeps vigor through movement, a gentleman should constantly strive for self-improvement.",周易,I Ching
166,德不孤，必有邻,"Virtue is not left to stand alone. He who practices it will have neighbors.",孔子,Confucius
167,敏而好学，不耻下问,"Be quick to learn and unashamed to seek advice from those below you.",孔子,Confucius
168,吾日三省吾身,"Every day I examine myself on three points.",曾子,Zengzi
169,知者不惑，仁者不忧，勇者不惧,"A wise man is not confused, a benevolent man is not worried, a brave man is not afraid.",孔子,Confucius
170,满招损，谦受益,"Complacency brings loss; humility receives benefit.",尚书,The Book of Documents
171,道可道，非常道；名可名，非常名,"The Tao that can be told is not the eternal Tao; the name that can be named is not the eternal name.",老子,Laozi
172,企者不立，跨者不行,"He who stands on tiptoe is not steady; he who strides cannot maintain the pace.",老子,Laozi
173,大器晚成,"A great vessel takes time to complete.",老子,Laozi
174,上善若水,"The highest goodness is like water.",老子,Laozi
175,知人者智，自知者明,"Knowing others is wisdom; knowing yourself is enlightenment.",老子,Laozi
176,胜人者有力，自胜者强,"He who conquers others is strong; he who conquers himself is mighty.",老子,Laozi
177,居安思危,"Think of danger in times of safety.",《左传》,Zuo Zhuan
178,知足不辱，知止不殆,"He who knows contentment meets no disgrace; he who knows where to stop meets no danger.",老子,Laozi
179,自助者天助,"Heaven helps those who help themselves.",《管子》,Guanzi
180,强中更有强中手,"No matter how strong you are, there is always someone stronger.",中国谚语,Chinese Proverb
181,言必信，行必果,"If you say it, you must keep your word; if you promise it, you must follow through.",孔子,Confucius
182,君子和而不同，小人同而不和,"The gentleman seeks harmony but not uniformity; the small man seeks uniformity but not harmony.",孔子,Confucius
183,将欲取之，必先与之,"To take, one must first give.",老子,Laozi
184,不积跬步，无以至千里,"Without accumulating steps, you cannot reach a thousand miles.",荀子,Xunzi
185,三人行，必有我师焉,"When three men walk together, one of them can teach me something.",孔子,Confucius
186,得道多助，失道寡助,"He who has virtue gets much help; he who lacks virtue gets little help.",孟子,Mencius
187,大丈夫能屈能伸,"A great man can bend and stretch as needed.",中国谚语,Chinese Proverb
188,海纳百川，有容乃大,"The sea admits hundreds of rivers; it has room for all, thus it is great.",林则徐,Lin Zexu
189,弱之胜强，柔之胜刚,"The weak overcomes the strong; the soft overcomes the hard.",老子,Laozi
190,明枪易躲，暗箭难防,"An open spear thrust is easy to avoid; a hidden arrow is hard to guard against.",中国谚语,Chinese Proverb
191,不闻不若闻之，闻之不若见之,"Hearing is not as good as seeing.",荀子,Xunzi
192,当局者迷，旁观者清,"Those who are in it are confused; those who watch are clear.",中国谚语,Chinese Proverb
193,尺有所短，寸有所长,"A foot may be short in some parts, and an inch may be long in others.",屈原,Qu Yuan
194,博观而约取，厚积而薄发,"Observe widely and hold onto the essential; accumulate richly then release sparingly.",苏轼,Su Shi
195,既来之，则安之,"Since you have come, you may as well settle down.",《左传》,Zuo Zhuan
196,民以食为天,"People regard food as Heaven.",《史记》,Records of the Grand Historian
197,读万卷书，行万里路,"Read ten thousand books and travel ten thousand miles.",刘彝,Liu Yi
198,天时不如地利，地利不如人和,"Timing is not as good as the advantage of terrain, which is not as good as unity among people.",孟子,Mencius
199,塞翁失马，焉知非福,"When the frontier old man lost his horse, how could one know it would not be fortuitous?",中国谚语,Chinese Proverb
200,己所不欲，勿施于人,"What you do not want done to yourself, do not do to others.",孔子,Confucius
201,千里之行，始于足下,"A journey of a thousand miles begins with a single step.",老子,Laozi
202,知之者不如好之者，好之者不如乐之者,"Those who know are not as good as those who love, and those who love are not as good as those who find joy in it.",孔子,Confucius
203,学而不思则罔，思而不学则殆,"Learning without thought is labor lost; thought without learning is perilous.",孔子,Confucius
204,君子坦荡荡，小人长戚戚,"The superior man is always calm and at ease; the inferior man is always worried and distressed.",孔子,Confucius
205,天行健，君子以自强不息,"As Heaven keeps vigor through movement, a gentleman should constantly strive for self-improvement.",周易,I Ching
206,德不孤，必有邻,"Virtue is not left to stand alone. He who practices it will have neighbors.",孔子,Confucius
207,敏而好学，不耻下问,"Be quick to learn and unashamed to seek advice from those below you.",孔子,Confucius
208,吾日三省吾身,"Every day I examine myself on three points.",曾子,Zengzi
209,知者不惑，仁者不忧，勇者不惧,"A wise man is not confused, a benevolent man is not worried, a brave man is not afraid.",孔子,Confucius
210,满招损，谦受益,"Complacency brings loss; humility receives benefit.",尚书,The Book of Documents
211,道可道，非常道；名可名，非常名,"The Tao that can be told is not the eternal Tao; the name that can be named is not the eternal name.",老子,Laozi
212,企者不立，跨者不行,"He who stands on tiptoe is not steady; he who strides cannot maintain the pace.",老子,Laozi
213,大器晚成,"A great vessel takes time to complete.",老子,Laozi
214,上善若水,"The highest goodness is like water.",老子,Laozi
215,知人者智，自知者明,"Knowing others is wisdom; knowing yourself is enlightenment.",老子,Laozi
216,胜人者有力，自胜者强,"He who conquers others is strong; he who conquers himself is mighty.",老子,Laozi
217,居安思危,"Think of danger in times of safety.",《左传》,Zuo Zhuan
218,知足不辱，知止不殆,"He who knows contentment meets no disgrace; he who knows where to stop meets no danger.",老子,Laozi
219,自助者天助,"Heaven helps those who help themselves.",《管子》,Guanzi
220,强中更有强中手,"No matter how strong you are, there is always someone stronger.",中国谚语,Chinese Proverb
221,言必信，行必果,"If you say it, you must keep your word; if you promise it, you must follow through.",孔子,Confucius
222,君子和而不同，小人同而不和,"The gentleman seeks harmony but not uniformity; the small man seeks uniformity but not harmony.",孔子,Confucius
223,将欲取之，必先与之,"To take, one must first give.",老子,Laozi
224,不积跬步，无以至千里,"Without accumulating steps, you cannot reach a thousand miles.",荀子,Xunzi
225,三人行，必有我师焉,"When three men walk together, one of them can teach me something.",孔子,Confucius
226,得道多助，失道寡助,"He who has virtue gets much help; he who lacks virtue gets little help.",孟子,Mencius
227,大丈夫能屈能伸,"A great man can bend and stretch as needed.",中国谚语,Chinese Proverb
228,海纳百川，有容乃大,"The sea admits hundreds of rivers; it has room for all, thus it is great.",林则徐,Lin Zexu
229,弱之胜强，柔之胜刚,"The weak overcomes the strong; the soft overcomes the hard.",老子,Laozi
230,明枪易躲，暗箭难防,"An open spear thrust is easy to avoid; a hidden arrow is hard to guard against.",中国谚语,Chinese Proverb
231,不闻不若闻之，闻之不若见之,"Hearing is not as good as seeing.",荀子,Xunzi
232,当局者迷，旁观者清,"Those who are in it are confused; those who watch are clear.",中国谚语,Chinese Proverb
233,尺有所短，寸有所长,"A foot may be short in some parts, and an inch may be long in others.",屈原,Qu Yuan
234,博观而约取，厚积而薄发,"Observe widely and hold onto the essential; accumulate richly then release sparingly.",苏轼,Su Shi
235,既来之，则安之,"Since you have come, you may as well settle down.",《左传》,Zuo Zhuan
236,民以食为天,"People regard food as Heaven.",《史记》,Records of the Grand Historian
237,读万卷书，行万里路,"Read ten thousand books and travel ten thousand miles.",刘彝,Liu Yi
238,天时不如地利，地利不如人和,"Timing is not as good as the advantage of terrain, which is not as good as unity among people.",孟子,Mencius
239,塞翁失马，焉知非福,"When the frontier old man lost his horse, how could one know it would not be fortuitous?",中国谚语,Chinese Proverb
240,己所不欲，勿施于人,"What you do not want done to yourself, do not do to others.",孔子,Confucius
241,千里之行，始于足下,"A journey of a thousand miles begins with a single step.",老子,Laozi
242,知之者不如好之者，好之者不如乐之者,"Those who know are not as good as those who love, and those who love are not as good as those who find joy in it.",孔子,Confucius
243,学而不思则罔，思而不学则殆,"Learning without thought is labor lost; thought without learning is perilous.",孔子,Confucius
244,君子坦荡荡，小人长戚戚,"The superior man is always calm and at ease; the inferior man is always worried and distressed.",孔子,Confucius
245,天行健，君子以自强不息,"As Heaven keeps vigor through movement, a gentleman should constantly strive for self-improvement.",周易,I Ching
246,德不孤，必有邻,"Virtue is not left to stand alone. He who practices it will have neighbors.",孔子,Confucius
247,敏而好学，不耻下问,"Be quick to learn and unashamed to seek advice from those below you.",孔子,Confucius
248,吾日三省吾身,"Every day I examine myself on three points.",曾子,Zengzi
249,知者不惑，仁者不忧，勇者不惧,"A wise man is not confused, a benevolent man is not worried, a brave man is not afraid.",孔子,Confucius
250,满招损，谦受益,"Complacency brings loss; humility receives benefit.",尚书,The Book of Documents
251,道可道，非常道；名可名，非常名,"The Tao that can be told is not the eternal Tao; the name that can be named is not the eternal name.",老子,Laozi
252,企者不立，跨者不行,"He who stands on tiptoe is not steady; he who strides cannot maintain the pace.",老子,Laozi
253,大器晚成,"A great vessel takes time to complete.",老子,Laozi
254,上善若水,"The highest goodness is like water.",老子,Laozi
255,知人者智，自知者明,"Knowing others is wisdom; knowing yourself is enlightenment.",老子,Laozi
256,胜人者有力，自胜者强,"He who conquers others is strong; he who conquers himself is mighty.",老子,Laozi
257,居安思危,"Think of danger in times of safety.",《左传》,Zuo Zhuan
258,知足不辱，知止不殆,"He who knows contentment meets no disgrace; he who knows where to stop meets no danger.",老子,Laozi
259,自助者天助,"Heaven helps those who help themselves.",《管子》,Guanzi
260,强中更有强中手,"No matter how strong you are, there is always someone stronger.",中国谚语,Chinese Proverb
261,言必信，行必果,"If you say it, you must keep your word; if you promise it, you must follow through.",孔子,Confucius
262,君子和而不同，小人同而不和,"The gentleman seeks harmony but not uniformity; the small man seeks uniformity but not harmony.",孔子,Confucius
263,将欲取之，必先与之,"To take, one must first give.",老子,Laozi
264,不积跬步，无以至千里,"Without accumulating steps, you cannot reach a thousand miles.",荀子,Xunzi
265,三人行，必有我师焉,"When three men walk together, one of them can teach me something.",孔子,Confucius
266,得道多助，失道寡助,"He who has virtue gets much help; he who lacks virtue gets little help.",孟子,Mencius
267,大丈夫能屈能伸,"A great man can bend and stretch as needed.",中国谚语,Chinese Proverb
268,海纳百川，有容乃大,"The sea admits hundreds of rivers; it has room for all, thus it is great.",林则徐,Lin Zexu
269,弱之胜强，柔之胜刚,"The weak overcomes the strong; the soft overcomes the hard.",老子,Laozi
270,明枪易躲，暗箭难防,"An open spear thrust is easy to avoid; a hidden arrow is hard to guard against.",中国谚语,Chinese Proverb
271,不闻不若闻之，闻之不若见之,"Hearing is not as good as seeing.",荀子,Xunzi
272,当局者迷，旁观者清,"Those who are in it are confused; those who watch are clear.",中国谚语,Chinese Proverb
273,尺有所短，寸有所长,"A foot may be short in some parts, and an inch may be long in others.",屈原,Qu Yuan
274,博观而约取，厚积而薄发,"Observe widely and hold onto the essential; accumulate richly then release sparingly.",苏轼,Su Shi
275,既来之，则安之,"Since you have come, you may as well settle down.",《左传》,Zuo Zhuan
276,民以食为天,"People regard food as Heaven.",《史记》,Records of the Grand Historian
277,读万卷书，行万里路,"Read ten thousand books and travel ten thousand miles.",刘彝,Liu Yi
278,天时不如地利，地利不如人和,"Timing is not as good as the advantage of terrain, which is not as good as unity among people.",孟子,Mencius
279,塞翁失马，焉知非福,"When the frontier old man lost his horse, how could one know it would not be fortuitous?",中国谚语,Chinese Proverb
280,己所不欲，勿施于人,"What you do not want done to yourself, do not do to others.",孔子,Confucius
281,千里之行，始于足下,"A journey of a thousand miles begins with a single step.",老子,Laozi
282,知之者不如好之者，好之者不如乐之者,"Those who know are not as good as those who love, and those who love are not as good as those who find joy in it.",孔子,Confucius
283,学而不思则罔，思而不学则殆,"Learning without thought is labor lost; thought without learning is perilous.",孔子,Confucius
284,君子坦荡荡，小人长戚戚,"The superior man is always calm and at ease; the inferior man is always worried and distressed.",孔子,Confucius
285,天行健，君子以自强不息,"As Heaven keeps vigor through movement, a gentleman should constantly strive for self-improvement.",周易,I Ching
286,德不孤，必有邻,"Virtue is not left to stand alone. He who practices it will have neighbors.",孔子,Confucius
287,敏而好学，不耻下问,"Be quick to learn and unashamed to seek advice from those below you.",孔子,Confucius
288,吾日三省吾身,"Every day I examine myself on three points.",曾子,Zengzi
289,知者不惑，仁者不忧，勇者不惧,"A wise man is not confused, a benevolent man is not worried, a brave man is not afraid.",孔子,Confucius
290,满招损，谦受益,"Complacency brings loss; humility receives benefit.",尚书,The Book of Documents
291,道可道，非常道；名可名，非常名,"The Tao that can be told is not the eternal Tao; the name that can be named is not the eternal name.",老子,Laozi
292,企者不立，跨者不行,"He who stands on tiptoe is not steady; he who strides cannot maintain the pace.",老子,Laozi
293,大器晚成,"A great vessel takes time to complete.",老子,Laozi
294,上善若水,"The highest goodness is like water.",老子,Laozi
295,知人者智，自知者明,"Knowing others is wisdom; knowing yourself is enlightenment.",老子,Laozi
