No,Chinese,Author_CL,English,Author_EL
286,四面楚歌,成语,Encircled by adversaries,Idiom
287,铤而走险,成语,To risk it all,Idiom
288,万古流芳,成语,Immortalized in history,Idiom
289,危言耸听,成语,Alarmist rhetoric,Idiom
290,为虎作伥,成语,To abet wrongdoing,Idiom
291,温文尔雅,成语,Refined and gracious,Idiom
292,闻鸡起舞,成语,Eager to act at a moment's notice,Idiom
293,卧薪尝胆,成语,Endure hardships for future triumph,Idiom
294,乌合之众,成语,A disorganized mob,Idiom
295,乌烟瘴气,成语,A foul, chaotic environment,Idiom
296,无可厚非,成语,Not entirely blameworthy,Idiom
297,心猿意马,成语,An unbridled mind,Idiom
298,虚怀若谷,成语,Humbly receptive,Idiom
299,削足适履,成语,To force a poor fit,Idiom
300,掩耳盗铃,成语,Fool oneself by ignoring the obvious,Idiom
301,一败涂地,成语,Total defeat,Idiom
302,一意孤行,成语,Stubbornly pursue one's own way,Idiom
303,一针见血,成语,Hit the nail on the head,Idiom
304,真知灼见,成语,Profound insight,Idiom
305,蒸蒸日上,成语,Thriving day by day,Idiom
306,执迷不悟,成语,Refuse to see the truth,Idiom
307,自食其力,成语,Earn one's own keep,Idiom
308,自投罗网,成语,To walk straight into a trap,Idiom
309,层出不穷,成语,One thing after another,Idiom
310,瞠目结舌,成语,Completely dumbfounded,Idiom
311,赤子之心,成语,Childlike innocence,Idiom
312,大惊失色,成语,Utterly taken aback,Idiom
313,当之无愧,成语,Rightfully deserved,Idiom
314,大相径庭,成语,Worlds apart,Idiom
315,得天独厚,成语,Uniquely advantaged,Idiom
316,独出心裁,成语,Strikingly original,Idiom
317,反复无常,成语,Fickle and unpredictable,Idiom
318,锋芒毕露,成语,Let one’s brilliance shine,Idiom
319,浮想联翩 ,成语,A torrent of imaginative ideas,Idiom
320,付诸东流,成语,All for nothing,Idiom
321,鬼斧神工,成语,Masterfully crafted,Idiom
322,过犹不及,成语,Too much can be as bad as too little,Idiom
323,海枯石烂,成语,Until the end of time,Idiom
324,骇人听闻,成语,Absolutely appalling,Idiom
325,汗流浃背,成语,Drenched in sweat,Idiom
326,好高骛远,成语,Head in the clouds,Idiom
327,赫赫有名,成语,Widely renowned,Idiom
328,焕然一新,成语,Completely revamped,Idiom
329,花枝招展,成语,Dressed to impress,Idiom
330,挥洒自如,成语,With effortless ease,Idiom
331,囫囵吞枣,成语,To take in the gist without digesting the details,Idiom
332,魂飞魄散,成语,Scared out of one’s wits,Idiom
333,豁然开朗,成语,A sudden epiphany,Idiom
334,坚韧不拔,成语,Steadfast and unyielding,Idiom
335,嗟来之食,成语,A meager handout,Idiom
336,截然不同,成语,Completely distinct,Idiom
337,惊天动地,成语,Earth-shattering,Idiom
338,炯炯有神,成语,Eyes sparkling with life,Idiom
339,可歌可泣,成语,Both inspiring and tear-jerking,Idiom
340,刻骨铭心,成语,Etched indelibly in one’s heart,Idiom
341,脍炙人口,成语,Universally beloved,Idiom
342,劳而无功,成语,Working hard for nothing,Idiom
343,老态龙钟,成语,Showing the wear of old age,Idiom
344,琳琅满目,成语,A dazzling array,Idiom
345,面面相觑,成语,Exchanging bewildered glances,Idiom
346,灭顶之灾,成语,A catastrophe of epic proportions,Idiom
347,明察秋毫,成语,With an eagle eye for detail,Idiom
348,漠不关心,成语,Completely indifferent,Idiom
349,莫名其妙,成语,Utterly baffling,Idiom
350,目不识丁,成语,Unable to read,Idiom
351,南辕北辙,成语,Working at cross purposes,Idiom
352,怒发冲冠,成语,Beside oneself with rage,Idiom
353,藕断丝连,成语,Tied by lingering attachments,Idiom
354,披荆斩棘,成语,To forge ahead through adversity,Idiom
355,扑朔迷离,成语,Perplexingly enigmatic,Idiom
356,黔驴技穷,成语,Running out of tricks,Idiom
357,牵强附会,成语,Forcing a far-fetched connection,Idiom
358,恰如其分,成语,Perfectly appropriate,Idiom
359,晴天霹雳,成语,A bolt from the blue,Idiom
360,杞人忧天,成语,Worrying for no reason,Idiom
361,全神贯注,成语,Completely absorbed,Idiom
362,人声鼎沸,成语,A bustling, clamorous crowd,Idiom
363,融会贯通,成语,Connecting the dots seamlessly,Idiom
364,如出一辙,成语,Cut from the same cloth,Idiom
365,锐不可当,成语,An unstoppable force,Idiom
