No,Chinese,Author_CL,English,Author_EL
41,"我有三宝，持而保之：一曰慈，二曰俭，三曰不敢为天下先。","《道德经》","I cherish three treasures—compassion, frugality, and the humility of never insisting on being first.","Tao Te Ching"
42,"是以圣人后其身而身先，外其身而身存。非以其无私邪？故能成其私。","《道德经》","The sage puts his own interests aside, and in doing so, his true self shines through; by being selfless, he ultimately secures his own lasting legacy.","Tao Te Ching"
43,"天之道，利而不害。圣人之道，为而不争。","《道德经》","Nature’s way enriches without injury, and the sage achieves by acting without competition.","Tao Te Ching"
44,"万物作而弗始，生而弗有，为而弗恃，功成而不居。","《道德经》","All things come into being without the creator taking credit, act without claiming ownership, and succeed without clinging to the glory.","Tao Te Ching"
45,"天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。","《道德经》","Nature cares not for life, using all creatures indiscriminately, and likewise, the sage remains impartial, letting the masses follow their own course.","Tao Te Ching"
46,"人之生也，与忧俱生。","《庄子》","From the moment of birth, human life is inseparable from sorrow.","Zhuangzi"
47,"吾生也有涯，而知也无涯。","《庄子》","While our time on earth is finite, the pursuit of knowledge knows no bounds.","Zhuangzi"
48,"以管窥天，以锥刺地。","《庄子》","To glimpse the vast sky through a narrow tube, or to explore the earth with a tiny awl—such limited views distort the truth.","Zhuangzi"
49,"泉涸，鱼相与处于陆，相呴以湿，相濡以沫，不如相忘于江湖。","《庄子》","When resources run dry, even desperate creatures may help each other; yet sometimes, it's best to let go and move on, like fish separated by a river.","Zhuangzi"
50,"哀莫大于心死，而人死亦次之。","《庄子》","The greatest tragedy is not physical death, but a heart that has lost its vitality—only then does actual death come close.","Zhuangzi"

